Gene	33	34	35	36	37	41	42	43	46	47	48	50	53	54	59	60	61	63	64	65	66	67	70	71	86	87	88	89	92	94	95	96	97	99	100	115	117	118	121	123	125	127	128	129	76	104	105	106	107
CTAG1B	7.1157196	6.9309373	7.4066643	6.8204833	6.7750398	7.0136253	7.7219356	7.7868787	8.3524113	6.9121423	6.9122162	6.9804663	8.278892	7.3445398	7.4499553	6.4859457	6.8526327	8.8471782	6.6583956	8.3071115	7.7253729	7.1102076	8.8153943	8.84332	7.2745918	8.430531	8.3232593	6.8672146	7.2825026	6.7125861	7.3865921	7.3473901	6.7106943	6.8397795	7.4311617	7.0683513	7.197607	7.0352109	8.4775234	8.551131	8.7955654	8.188746	6.7346097	7.4680056	9.9313456	9.8689867	9.1997255	9.7277442	9.148492
MAGEA1	3.2966758	3.2782117	3.5714738	3.9475768	3.1210277	3.2493198	3.3105211	3.3689109	3.3048834	3.3861763	3.3018662	3.5287049	3.9929188	3.579478	2.9636453	3.432994	3.4470068	3.7345062	2.9417785	3.1284844	3.4981289	3.8681283	3.3471552	3.817134	3.9618421	3.7709388	2.7898265	4.5340264	2.9854912	3.7178763	3.8044439	3.7321158	3.2718609	3.3749457	3.9250723	2.9273239	3.3498445	3.4985852	4.1003935	2.9094374	3.5260916	3.537408	3.2387424	2.9913477	4.0255136	4.1240521	3.7067087	2.1617586	3.9214441
AFP	3.7429575	3.6551582	3.017724	2.9701629	3.4123377	3.4595895	3.4934687	3.7934763	3.8042153	3.8155698	3.36541	5.6416933	3.8124944	3.3763753	4.2770475	3.6099371	3.1339648	2.9579941	3.3025855	3.1547371	2.5132786	3.2121375	3.5531958	4.0017846	4.0715119	3.2598274	5.2641522	3.9855216	3.9060132	4.2075074	4.0552142	2.5003274	4.6608141	3.2820632	3.3318458	3.4878097	3.3043295	3.2397168	5.6451038	2.7947808	2.611858	2.7755338	4.3159549	3.0884714	4.2082788	3.4932908	3.5305962	4.0782948	4.5780838
WT1	3.6823776	4.1510378	3.8940821	3.0320058	3.6153127	2.7629389	3.6448959	3.354089	4.1206647	3.2870959	3.6767869	2.9870225	3.9334301	3.440304	3.962016	3.6411172	2.5592322	3.5216824	2.7457958	3.0209547	3.6364984	2.6638947	3.2573832	4.0478007	3.2335957	3.4211298	2.7511951	2.0144911	3.0289257	2.0704978	4.1933882	2.8407823	3.2955609	2.9520282	3.1309466	3.4904485	3.3104332	3.1286881	3.890005	3.343482	3.215712	3.2221914	2.8245934	3.3306235	3.3774278	4.6226483	4.2510075	2.9917904	2.0055329
CEACAM5	3.1744648	3.0298643	5.3444297	3.0955079	3.5279766	3.8506642	3.2602209	3.3708473	2.7888869	3.3918905	3.2055315	4.6718017	3.0593295	5.4898215	4.5432525	3.0949095	4.9155006	3.5744625	3.8859624	3.3829695	3.5900519	4.0891732	4.2376179	3.4491218	4.0884025	3.7307715	4.7837972	3.1102948	3.5015909	4.7270219	5.1514002	5.4728671	3.5735645	3.8697519	3.5900525	3.3864184	3.4550482	3.2364003	4.3077671	3.4292586	3.1143118	3.5560515	3.9646709	3.1329206	2.629505	2.633879	2.875085	3.1598231	3.1861087
BIRC5	3.6190128	3.9014401	3.4219259	3.1723957	3.3915512	2.8517614	3.153793	3.3709617	2.9787807	3.5117076	3.253044	3.0056047	4.5746612	2.7611389	2.6793488	3.1579318	3.3902382	3.2372783	3.4010572	4.7418523	3.2817945	3.6588556	3.5146903	3.4077872	3.2123046	3.6974136	2.8777272	4.3823611	2.6880353	2.6342223	3.183384	2.8628119	3.0342376	3.0779315	2.9957154	3.6215484	2.9686594	3.0576682	3.0742299	2.8766387	2.4200955	3.7962904	3.5553045	2.9350659	2.7248249	3.6566657	4.7929186	3.2856539	3.8677767
MAGEC1	5.008106	5.4332001	3.6266191	3.3004462	3.3776458	3.1461547	4.0060899	3.5245341	4.3721182	3.2332183	3.548349	3.4328103	2.4664853	4.873063	2.8339293	3.9470619	2.8929837	3.1759558	2.4594416	3.6470838	2.0459915	3.7989759	3.6894138	3.1110879	2.7297852	2.8480824	4.0063163	3.8528381	3.9363755	2.8721352	3.8703804	3.211773	4.1707105	2.9457527	3.3909717	3.5212166	3.236677	3.2362296	4.1285282	3.5839613	3.406596	4.2316438	3.4639738	3.1957689	4.2499735	3.2946831	4.773103	3.5449307	4.1711036
MLANA	3.14392	3.7901772	3.7150419	4.4252292	4.1758632	3.5451708	3.3451725	4.091585	4.4075664	3.5571598	4.2954837	4.2458861	3.1877505	3.6648949	3.9348169	3.5729389	3.4203833	4.2794907	3.7170144	3.96916	4.35748	3.9248517	3.5078939	4.179107	4.0601829	4.0467701	3.5667392	4.2669816	3.9272544	2.5906443	4.5128631	3.6706739	4.0774432	3.4913063	3.8622235	3.853693	3.711858	3.87571	4.3084087	3.9473034	4.37279	3.704303	4.2876863	4.2131501	4.4403739	4.4973459	4.0205585	3.0779369	4.5872331
ACPP	4.3532526	4.1310941	4.3853848	4.3392687	4.0811394	4.1915621	4.8137976	5.3650748	4.0670903	4.5629266	4.1671212	4.856205	4.0546073	4.4295105	5.0987448	4.7897862	3.4374288	4.5354082	3.8459922	4.6738945	3.9982412	3.9601547	4.8941573	4.6887454	4.5559416	4.5492153	4.1545889	3.9150013	5.5246688	4.4570384	3.5950947	4.4828702	4.1526561	4.7540401	4.5614025	4.3371871	4.1319262	4.881016	4.0492259	5.0272523	4.4773178	4.5005777	4.6776963	4.6443494	2.1121437	4.3995368	4.4337623	4.8030339	4.6394032
ROPN1	3.4109426	4.2611165	3.8747399	3.7793348	3.6532508	4.1244411	3.661911	3.8930319	4.0832537	3.3455354	4.0304702	3.7248358	3.5054712	3.4666528	3.9500487	3.7114914	3.1182014	3.2253191	4.2545106	3.683501	5.1158234	3.6799484	3.5233785	3.8920262	3.2803662	3.5397178	4.9986495	3.9861469	4.1784105	4.8871562	3.7242294	3.2863144	3.6915546	3.3444533	3.6634829	3.4626665	3.6275762	3.8322152	5.5158761	3.4654007	3.9089954	4.8089754	3.539072	3.6904008	4.7164923	4.2339518	4.1274884	4.3388209	1.1089816
TYR	3.7088719	3.2506874	3.8657808	4.4513844	3.7951326	3.5164754	3.9744399	3.8199301	4.2633918	3.7023858	5.1046694	3.4072762	4.8979419	4.3247295	4.1688106	3.56641	3.3428447	4.314429	4.3151563	4.4948222	5.054361	2.95515	3.989807	4.522302	3.8660194	4.037602	3.7953074	4.5353097	3.9741305	4.2835006	3.8884138	3.5897959	3.7734934	3.9224884	3.6435267	3.7776553	3.9389084	3.8714007	5.266176	3.9205545	3.7581685	4.1696441	4.4190377	4.1532831	5.1960177	4.4581903	4.3940342	4.0750556	3.4536885
TYRP1	5.9196574	5.792832	6.4150104	6.5674495	5.1413653	5.8395784	4.2241474	4.3212998	5.5193087	3.9758578	5.7497948	6.2841973	5.9281358	6.4218616	5.5315305	4.4821393	5.1457831	4.1844877	5.4633767	4.4185037	5.8669273	5.5331683	5.099841	4.839321	6.3425019	4.7894187	4.2542641	5.3537216	4.8469923	5.3443607	5.1901832	5.2952599	4.8969936	4.9219206	5.9893661	5.3892264	5.4459197	5.6250276	5.5520238	5.0157277	4.8641991	5.5353538	5.3990784	5.2583705	6.0404845	5.2751535	5.8207961	5.5330333	5.2077241
GPC3	3.7789546	4.0959845	3.877875	3.6142992	3.7611321	5.4809492	4.3256434	3.7634799	4.4148365	3.8971899	3.346705	3.9884067	4.5204913	3.5959532	3.939832	3.0504472	3.7447435	4.8611064	3.9978855	5.0528394	6.1494192	3.9855249	4.7893679	4.8182723	3.5082145	4.7063369	4.5207947	8.6952806	4.1144689	2.7461218	4.467122	3.977156	3.918712	4.1663768	4.1689704	3.5675431	5.1876676	4.385754	5.6053891	4.1712784	3.8642389	4.0455006	6.3026386	3.6969284	4.7274685	5.5056933	5.2663749	5.0630852	3.9692088
FGF5	3.6193945	3.3730549	3.3591462	3.3721855	3.5238284	3.6949666	2.1293732	3.1061071	3.7167638	3.1694417	3.1352096	4.4965755	3.0314539	3.5076924	4.4813339	3.7730944	3.0224664	3.0938756	3.1475343	3.6456234	3.4127564	3.5390357	4.2752038	3.487045	3.6790489	3.7201078	3.9209237	2.954501	3.5678969	1.6295786	3.6597695	3.7680382	2.8776356	3.1027145	4.1879532	3.5470362	3.2418844	3.2984102	3.3290977	4.0036814	3.6272725	3.0879133	3.9744292	3.7488777	2.8605619	3.8256757	4.433044	4.1680227	2.7525911
TERT	9.1748235	3.9605801	3.9625742	4.2210653	5.9283474	3.2655357	4.2495657	3.3602466	5.1598657	3.2504229	4.022372	3.7807411	4.8252134	4.1035693	3.5941937	4.1529891	3.407166	5.0464541	3.9853138	4.2129794	4.6713037	4.3652396	3.3318896	4.265941	3.8148759	3.4569496	3.9978697	3.7822636	3.5996504	4.0042146	4.9089952	4.4658721	4.2734314	4.7621917	4.308062	4.7407152	4.0655757	3.6141519	2.6738071	3.7112257	4.0615124	4.0099254	6.4604469	3.58147	4.7775188	3.6557094	4.8883845	3.7147398	3.2724133
DIDO1	4.1658429	5.2599708	4.799744	4.7744612	4.4754353	4.9907593	3.9440144	5.3193312	3.9393514	4.8505965	4.9444187	4.5027067	5.1852984	4.6052282	4.6248438	4.2507919	4.8785095	4.5728444	4.1359438	4.2669268	4.2336958	4.6830145	3.9072361	4.9097903	4.3981045	4.7485707	4.9752287	3.4995374	5.6850469	4.4992518	4.9232141	4.1911156	5.2709726	4.6736088	3.9654599	4.741801	4.96355	4.9271975	4.4057079	4.7745219	4.7866533	4.983642	4.4834421	4.652724	4.6190638	4.1543555	3.8165054	2.8880322	3.9880474
ADAM17	5.7361327	6.0230557	5.4794918	5.1695123	6.3705982	6.0290238	5.8180021	5.3881026	5.3082777	5.7164436	5.696679	5.8507047	5.1449441	5.7009381	4.8798133	5.6797281	5.5752802	5.7481377	5.501861	5.692658	5.0795874	5.1828613	5.6604596	4.9409303	6.4993734	5.6795806	4.4455897	5.4110414	5.7023356	5.3412637	5.1834566	5.4731963	5.5521122	5.8476523	5.1934272	6.5177578	5.4135664	5.7792618	5.9803372	5.7344617	5.2858303	5.1936585	5.2433519	5.587772	4.3063319	5.4356824	4.1668519	5.0199397	5.2300658
EPCAM	9.4302724	9.1130414	8.5940358	8.9775742	9.7233313	8.4684958	8.4877748	8.59572	8.4974394	9.6300694	9.9047468	8.7536192	8.8634833	8.8341858	8.6524554	8.9981267	8.7095834	9.0285504	8.7122895	9.44788	7.7475417	8.735775	9.1454085	8.5886553	8.1409623	8.1489676	8.3500566	8.5052638	8.5829153	8.1808818	9.1120419	8.5832028	9.622864	9.1651429	7.6585465	8.878581	9.1057558	8.6545856	8.0257961	8.6344607	7.7750576	8.0347952	9.2015977	9.1292802	7.8576732	8.7741109	8.5074306	8.6315757	8.7429249
FOLR1	2.4874826	3.2651901	3.3289811	3.3835436	2.992105	3.2071506	3.6684109	3.6392473	3.0324459	3.9761339	3.0422713	3.8172817	2.6687984	2.9907505	2.5783063	3.4552911	3.2098848	3.6174305	2.369869	3.3105006	3.6989484	3.5176994	4.1846152	4.4422509	3.923361	3.6091489	4.6084767	2.8086918	3.1672168	4.9334804	3.2239833	3.1586733	3.4883323	4.1852103	2.8851718	3.1393963	3.2386679	3.5329254	3.8453006	4.7063044	3.8227725	3.1054502	4.1068623	3.4095397	4.6918025	4.4124037	3.6308471	2.8584182	3.2892139
KLK3	3.1096226	3.552318	3.5278059	3.1913483	4.2617898	4.152077	3.186543	4.0662446	4.0331212	3.6275572	2.7947632	3.3543499	2.8429894	2.867825	3.1292162	2.7296845	4.6404941	4.2736573	3.6211437	3.4956479	4.5785474	3.2310701	3.6650837	3.8846377	3.7195161	3.8183095	3.4110496	3.8106093	4.0731667	3.8055308	3.2143035	3.5262401	4.1817679	3.486427	2.9704604	3.7740983	3.4763261	3.1294613	3.603127	3.7011386	4.4494957	2.8728688	5.6342281	3.8745805	4.6011012	3.6066972	3.5293014	4.294916	3.5722904
