Gene	X131	X134	X136	X137	X132	X135	X138	X90	X102	X112	X119	X55	X36	X38	X39	X40	X44	X49	X51	X52	X56	X57	X58	X62	X68	X69	X72	X73	X74	X75	X84	X93	X98	X114	X116	X120	X124	X126	X130	X133	X35	X41	X42	X59	X61	X127	X33	X64	X99	X115	X129	X47	X92	X94	X100	X118	X34	X37	X46	X48	X50	X54	X60	X65	X67	X86	X89	X95	X96	X97	X117	X128
CTAG1B	7.0224716	7.0241576	8.0855295	7.5345193	6.7445471	9.8137029	7.489157	8.8074359	9.4634822	7.8378515	7.1791738	8.4556108	6.8204833	8.0967211	8.3399267	8.0254523	7.0971744	6.6563982	7.833321	6.8618642	7.3737833	8.2807123	7.8791382	6.9531215	7.0490126	7.9068612	7.100395	7.1004264	7.920239	6.5339099	8.2611254	7.5036294	7.8543477	8.0827159	7.2944906	8.1659798	7.1670736	6.4412989	7.6363066	6.7987956	7.4066643	7.0136253	7.7219356	7.4499553	6.8526327	8.188746	7.1157196	6.6583956	6.8397795	7.0683513	7.4680056	6.9121423	7.2825026	6.7125861	7.4311617	7.0352109	6.9309373	6.7750398	8.3524113	6.9122162	6.9804663	7.3445398	6.4859457	8.3071115	7.1102076	7.2745918	6.8672146	7.3865921	7.3473901	6.7106943	7.197607	6.7346097
MAGEA1	3.4225186	3.4011542	3.6933838	2.7771055	4.7987148	4.7249496	3.796064	3.9977514	4.8746112	4.0876851	3.4102588	4.5595848	3.9475768	4.1646361	3.6880209	3.4934324	3.1717334	3.3961075	3.8664859	3.5687987	3.5819163	3.8687961	4.3618548	4.248706	3.4940281	4.1920308	3.227328	3.2732358	3.9380907	3.4619528	4.3024621	2.9545557	3.5522819	3.4821961	4.0011332	3.9642303	4.0287065	3.5268516	3.551876	3.2615105	3.5714738	3.2493198	3.3105211	2.9636453	3.4470068	3.537408	3.2966758	2.9417785	3.3749457	2.9273239	2.9913477	3.3861763	2.9854912	3.7178763	3.9250723	3.4985852	3.2782117	3.1210277	3.3048834	3.3018662	3.5287049	3.579478	3.432994	3.1284844	3.8681283	3.9618421	4.5340264	3.8044439	3.7321158	3.2718609	3.3498445	3.2387424
AFP	5.6258127	3.339546	3.4188437	3.9620974	3.0244879	2.9132451	3.6239029	3.2024556	3.0782404	3.9887212	3.5329698	3.9394462	2.9701629	3.9114778	3.9592647	3.6527653	3.2084642	4.4246812	5.0483924	4.0661622	3.8103889	3.233122	4.2210274	3.6795294	4.0624463	2.8204076	5.3621606	6.5998478	3.4953722	2.9837316	2.6402871	2.7005367	5.2392877	3.6760742	3.895134	3.397662	4.4709757	3.2877903	3.0603961	3.535399	3.017724	3.4595895	3.4934687	4.2770475	3.1339648	2.7755338	3.7429575	3.3025855	3.2820632	3.4878097	3.0884714	3.8155698	3.9060132	4.2075074	3.3318458	3.2397168	3.6551582	3.4123377	3.8042153	3.36541	5.6416933	3.3763753	3.6099371	3.1547371	3.2121375	4.0715119	3.9855216	4.0552142	2.5003274	4.6608141	3.3043295	4.3159549
WT1	2.951866	3.3392346	3.3431096	3.3797391	3.2920843	4.1501652	2.9919026	3.6062805	3.2334777	3.2590737	3.0892051	3.533585	3.0320058	3.9787597	3.5250245	3.0989568	3.049924	2.8452304	3.3891628	3.1536963	3.6341279	2.5303964	3.2198238	4.342468	3.8657222	2.9735889	2.7215545	3.8059808	3.318233	4.1671211	3.8990608	2.0734162	4.1320682	3.3408135	2.7332404	2.7453945	3.4516261	3.1897698	2.9057575	3.3822376	3.8940821	2.7629389	3.6448959	3.962016	2.5592322	3.2221914	3.6823776	2.7457958	2.9520282	3.4904485	3.3306235	3.2870959	3.0289257	2.0704978	3.1309466	3.1286881	4.1510378	3.6153127	4.1206647	3.6767869	2.9870225	3.440304	3.6411172	3.0209547	2.6638947	3.2335957	2.0144911	4.1933882	2.8407823	3.2955609	3.3104332	2.8245934
CEACAM5	3.083047	3.0487143	5.2528842	4.7429414	2.7530393	3.2669547	10.0291327	4.4853657	3.3739885	10.1810513	2.7736294	4.0466537	3.0955079	3.3252869	3.0041187	10.0733116	3.7140675	3.215707	4.5107347	4.3465902	4.8512527	7.5777585	4.211982	3.5634749	2.9786166	3.8455719	3.1748616	5.7458691	5.1815213	4.4367202	5.0733205	3.523222	3.4973529	4.0532324	3.747187	4.3978246	4.3385372	2.3991784	3.5974124	3.2738239	5.3444297	3.8506642	3.2602209	4.5432525	4.9155006	3.5560515	3.1744648	3.8859624	3.8697519	3.3864184	3.1329206	3.3918905	3.5015909	4.7270219	3.5900525	3.2364003	3.0298643	3.5279766	2.7888869	3.2055315	4.6718017	5.4898215	3.0949095	3.3829695	4.0891732	4.0884025	3.1102948	5.1514002	5.4728671	3.5735645	3.4550482	3.9646709
BIRC5	3.9205164	3.5407614	3.5672657	3.6778519	2.9620197	3.1576869	4.0103915	5.3984976	3.939289	3.7580022	3.3608339	3.6327457	3.1723957	2.9496677	3.4376829	3.1345212	3.0723403	2.8118166	2.9941156	3.3011879	3.4218032	3.3243345	2.7009904	3.7735375	2.7782146	2.9564381	2.2007427	3.4851403	4.0686692	2.7899328	3.2308154	3.6321055	3.4962449	3.3442574	3.3734416	3.6763107	3.0136742	3.5227506	3.2562833	3.3025672	3.4219259	2.8517614	3.153793	2.6793488	3.3902382	3.7962904	3.6190128	3.4010572	3.0779315	3.6215484	2.9350659	3.5117076	2.6880353	2.6342223	2.9957154	3.0576682	3.9014401	3.3915512	2.9787807	3.253044	3.0056047	2.7611389	3.1579318	4.7418523	3.6588556	3.2123046	4.3823611	3.183384	2.8628119	3.0342376	2.9686594	3.5553045
MAGEC1	4.051216	3.1573207	8.638364	3.5918411	6.7493805	8.9462792	9.2857273	3.4829339	9.105858	8.1712367	3.0467526	8.064233	3.3004462	3.9972663	3.4677747	9.1610286	5.4300065	3.1369476	3.4058326	4.3067316	3.2667449	3.3153217	3.6816067	3.7427377	3.7392674	2.9114483	3.3084666	4.3072102	3.4911819	4.92546	3.5159063	3.8677781	2.4231156	2.8196664	4.7054918	3.1739231	3.3876458	5.5041139	3.4853827	3.0139005	3.6266191	3.1461547	4.0060899	2.8339293	2.8929837	4.2316438	5.008106	2.4594416	2.9457527	3.5212166	3.1957689	3.2332183	3.9363755	2.8721352	3.3909717	3.2362296	5.4332001	3.3776458	4.3721182	3.548349	3.4328103	4.873063	3.9470619	3.6470838	3.7989759	2.7297852	3.8528381	3.8703804	3.211773	4.1707105	3.236677	3.4639738
MLANA	4.0367326	4.384691	4.4452393	3.9938987	3.3749445	4.1515017	3.735171	4.3029456	3.3551045	3.6493861	3.4931879	3.6966667	4.4252292	4.7509995	4.1865822	3.9942397	3.4409483	4.3531659	3.4700371	3.5486271	3.8593601	4.0865188	4.7037951	3.1513114	4.0362554	3.5783162	3.6358351	4.5150452	4.3424553	3.4812881	4.6661985	4.2780146	5.015604	4.3580611	3.9278984	3.5761264	3.6371553	3.3206983	3.9258651	4.0328447	3.7150419	3.5451708	3.3451725	3.9348169	3.4203833	3.704303	3.14392	3.7170144	3.4913063	3.853693	4.2131501	3.5571598	3.9272544	2.5906443	3.8622235	3.87571	3.7901772	4.1758632	4.4075664	4.2954837	4.2458861	3.6648949	3.5729389	3.96916	3.9248517	4.0601829	4.2669816	4.5128631	3.6706739	4.0774432	3.711858	4.2876863
ACPP	3.9848446	4.6210691	5.4684997	4.387037	6.5227177	4.4771835	4.3697976	4.0494425	4.6066811	4.1896915	4.4421394	4.8121594	4.3392687	4.7889206	4.8221023	4.4087206	4.3622406	4.6365771	4.4109217	4.5047089	4.0787687	4.9710475	5.0149232	4.2747081	4.8381685	5.0804676	4.355547	4.5343133	4.0428423	6.9485938	4.47554	4.371538	5.2643243	5.0807025	4.7267726	4.4755622	4.5360392	7.0207636	5.1085617	4.2749102	4.3853848	4.1915621	4.8137976	5.0987448	3.4374288	4.5005777	4.3532526	3.8459922	4.7540401	4.3371871	4.6443494	4.5629266	5.5246688	4.4570384	4.5614025	4.881016	4.1310941	4.0811394	4.0670903	4.1671212	4.856205	4.4295105	4.7897862	4.6738945	3.9601547	4.5559416	3.9150013	3.5950947	4.4828702	4.1526561	4.1319262	4.6776963
ROPN1	3.3870543	4.2507895	3.4606372	2.7923803	2.4649253	3.4846451	4.033404	3.2415772	3.4219906	3.5867719	3.7543418	3.6935806	3.7793348	3.8150146	3.6537144	3.7599747	3.5307789	3.3502379	3.768506	3.8510548	3.6719822	3.8460785	3.5324591	3.8736541	3.9271666	3.6211325	3.2499443	3.7532671	3.5469324	3.1088688	3.6698832	4.6203984	3.8049864	3.9585938	3.7346706	3.694215	3.3879601	3.4475688	3.6393999	3.2660495	3.8747399	4.1244411	3.661911	3.9500487	3.1182014	4.8089754	3.4109426	4.2545106	3.3444533	3.4626665	3.6904008	3.3455354	4.1784105	4.8871562	3.6634829	3.8322152	4.2611165	3.6532508	4.0832537	4.0304702	3.7248358	3.4666528	3.7114914	3.683501	3.6799484	3.2803662	3.9861469	3.7242294	3.2863144	3.6915546	3.6275762	3.539072
